,finger,t,px,py,pz,fx,fy,fz,nx,ny,nz,taux,tauy,tauz,vx,vy,vz
817,LF,23,0.10185269988259993,-0.331485,0.9652022143442239,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.014989018742999627,-5.030372662195859e-05,-0.0009465004021524948
818,LF,23,0.10035590381498496,-0.331485,0.9651402489715293,0.09871484793394252,0.091689217353698,-0.11683439498456591,0.0,-1.0,0.0,0.0010005750650709734,0.0005662316909939944,0.0012897653640692231,-0.014967960676149639,0.0,-0.0006196537269465008
819,FF,24,0.10135869803825312,-0.331485,1.0345471068818861,-0.02405215904363822,2.326013878557794,-2.9754151771076693,0.0,-1.0,0.0,0.01626854878812058,0.002500793305032832,0.0018234719825969995,0.010027942232681553,0.0,0.6940685791035683
820,FF,24,0.10140309409933311,-0.331485,1.0345108548381576,0.004388273401314577,0.16058428059159074,-0.2277935397648186,0.0,-1.0,0.0,0.0013997217167070575,0.00024142398150133935,0.00019715773332284103,0.0004439606107999039,0.0,-0.00036252043728479677
821,FF,24,0.10130500763520889,-0.3314751672156847,1.034513843973288,0.0013698925341582395,0.04097252634004652,-0.0581188747513338,0.0,-1.0,0.0,0.0003625363356000333,6.398307756284996e-05,5.36518327927386e-05,-0.000980864641242224,9.832784315266796e-05,2.989135130304632e-05
822,FF,24,0.10164529179673631,-0.331485,1.033726656666292,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0034028416152742658,-9.832784315266796e-05,-0.007871873069960067
823,FF,24,0.10169943342875765,-0.331485,1.0335217367045666,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0005414163202133171,0.0,-0.002049199617253361
824,FF,24,0.10131082469433811,-0.3314447620204844,1.0335221965014412,0.0005416838317063161,0.03966044353232723,-0.0562635445324498,0.0,-1.0,0.0,0.0003524906472347487,-1.1005555096897698e-06,2.6178579044832176e-06,-0.003886087344195377,0.0004023797951557828,4.597968745745362e-06
825,FF,24,0.10130436916099478,-0.331485,1.0345888386427935,0.005543495418345245,0.024057325552932333,-0.03408965606850867,0.0,-1.0,0.0,0.00021213101803859553,8.397871126449849e-05,9.376012819162005e-05,-6.455533343330266e-05,-0.0004023797951557828,0.010666421413523253
826,FF,24,0.099695506801072,-0.33143608864934865,1.0345495851403597,-0.004644933187940514,0.6171821112842046,-0.8756511498987417,0.0,-1.0,0.0,0.006712064861001059,0.000767895243900861,0.0005056284287350715,-0.016088623599227747,0.0004891135065132612,-0.0003925350243383363
827,FF,24,0.10014888287766742,-0.331485,1.0348280970941772,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.004533760765954159,-0.0004891135065132612,0.0027851195381756177
828,FF,24,0.09970233691532422,-0.3314003658956107,1.0335261450962405,0.0005680851691498845,0.09518749038541086,-0.13504139697344686,0.0,-1.0,0.0,0.0010391714971390456,-9.870078285380483e-06,-2.585652059224476e-06,-0.004465459623431978,0.0008463410438924734,-0.013019519979367011
829,MF,24,0.1049180211851376,-0.331485,1.0091630608948294,0.1309008353258535,1.5057532354626644,-1.8950305853803444,0.0,-1.0,0.0,0.009831760019784481,0.0013050183003220275,0.0017160784382318026,0.05215684269813378,-0.0008463410438924734,-0.2436308420141109
830,MF,24,0.10504508997361717,-0.331485,1.0090221440102531,0.04386452829715526,0.17770180695078583,-0.25540328120745276,0.0,-1.0,0.0,0.001535483964705567,0.00039411632815417855,0.0005379275584555521,0.0012706878847956737,0.0,-0.0014091688457629203
831,MF,24,0.10468763974988643,-0.33145211278754966,1.0090211105786093,0.06833274523732884,0.05760768335816966,-0.08600781647038291,0.0,-1.0,0.0,0.000566848458337519,0.0006244912389192606,0.0008686397110091584,-0.0035745022373073754,0.0003288721245031656,-1.033431643815419e-05
832,MF,24,0.1049461385591793,-0.331485,1.0082095812630785,0.09277032302657115,0.39523486546250786,-0.5539139682280123,0.0,-1.0,0.0,0.0032689730317956986,0.0003726171770270626,0.0008133663525356153,0.0025849880929286473,-0.0003288721245031656,-0.008115293155308567
833,MF,24,0.10493160337760095,-0.331485,1.0080546038173648,0.0956402439005268,0.0938655557432401,-0.140977512624181,0.0,-1.0,0.0,0.0008969322829140321,0.000756425640091522,0.0011121286825632982,-0.00014535181578345657,0.0,-0.0015497744571368877
834,MF,24,0.10468881860350954,-0.3314631376653419,1.0080471327022535,0.06552259700835593,0.04686513588591437,-0.0712551975708439,0.0,-1.0,0.0,0.0004744924278704696,0.0005295974036838098,0.0007846393291907647,-0.0024278477409141186,0.00021862334658062643,-7.471115111234994e-05
835,MF,24,0.10468200320716071,-0.331485,1.0094065271530344,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-6.815396348822111e-05,-0.00021862334658062643,0.013593944507808153
836,MF,24,0.10306864642083574,-0.331485,1.0096698940166535,1.231077743826532e-153,1.3270323673277183e-153,9.712997604858283e-154,0.0,-1.0,0.0,-2.2923721633190864e-155,8.92736515447711e-156,1.6857804006006683e-155,-0.016133567863249737,0.0,0.002633668636191633
837,MF,24,0.1039302045754602,-0.331485,1.0095446374370682,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.008615581546244644,0.0,-0.0012525657958528669
838,MF,24,0.10307877243188696,-0.33142603434669904,1.009011868796438,3.4800254117291904e-103,3.7512710985511493e-103,2.745681875770533e-103,0.0,-1.0,0.0,-6.49080724148399e-105,2.708113143203238e-105,4.526856402039373e-105,-0.008514321435732497,0.0005896565330093528,-0.005327686406302323
839,RF,24,0.10316074090405924,-0.331485,0.9861603419129961,0.21335199644117375,1.9781133491045848,-2.3675734598248384,0.0,-1.0,0.0,0.015837409746460807,0.001415013075887772,0.0026094224095976008,0.0008196847217228909,-0.0005896565330093528,-0.22851526883441942
